nombre_oficial,url,calle,colonia,cp,alcaldia,telefonos,horarios,costos,resumen,fundacion,latitud,longitud
Museo Regional Comunitario Cuitláhuac,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=738,Calz. Tláhuac-Chalco 63,Barrio La Magdalena,13070,Tláhuac,"55 5842 5355, 55 7381 8564","Abierto al público de lunes a viernes, previa cita. Sábados y domingos de 10 a 16 hrs.",Entrada libre.,"El Museo Regional Comunitario Cuitláhuac es un museo ubicado en Tláhuac, Ciudad de México, que expone piezas prehispánicas, coloniales y sobre las costumbres y tradiciones de la comunidad.",3 de agosto de 2002,19.2668618,-99.00353679999999
Museo Andrés Quintana Roo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1078,Av. Independencia s/n,San Andrés Míxquic,13630,Tláhuac,"55 2594 6800, 55 5862 3250",Abierto al público de martes a domingo de 10 a 18 hrs.,Entrada libre.,"El Museo Andrés Quintana Roo alberga una colección arqueológica donada por la doctora Socorro Bernal Roque, con piezas principalmente de barro y piedra pertenecientes a las culturas tolteca y teotihuacana.",1 de enero de 1992,19.2213487,-98.9683308
Museo Tomás Medina Villarruel,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1045,Av. Sur del Comercio s/n,Pueblo de San Juan Ixtayopan,13500,Tláhuac,"55 5862 3250 exts. 1315, 1316",Abierto al público de martes a domingo de 10 a 18 hrs.,Entrada libre.,"El Museo Tomás Medina Villarruel exhibe piezas arqueológicas del Posclásico tardío, como soportes zoomorfos, vasijas, tejolotes, núcleos de obsidiana, figurillas antropomorfas, sellos y malacates.",1 de enero de 1980,19.2359226,-98.9948156
Museo Regional Tláhuac,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2452,Severino Ceniceros S/N,Barrio San Miguel,13070,Tláhuac,55 5862 3250 ext. 1315 y 1316,,,El Museo Regional Tláhuac es un museo ubicado en la alcaldía Tláhuac de la Ciudad de México.,3 de septiembre de 2018,19.2679287,-99.0021625
Museo del Heroico Colegio Militar,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1811,Carr. México-Cuernavaca km. 22,San Pedro Mártir,14640,Tlalpan,"55 5676 5044 exts. 317, 318","Jueves de 10 a 18 h, el acceso es por la Puerta núm. 1 de las instalaciones del Heroico Colegio Militar.",Entrada libre,"El museo es un homenaje a los 193 años de la fundación del Heroico Colegio Militar. Busca mostrar la historia y evolución del plantel de formación militar, mediante exhibiciones nacionales e internacionales.",,19.2591223,-99.15237809999999
Museo de Sitio de Cuicuilco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=721,Periférico Sur e Insurgentes s/n,Isidro Fabela,14030,Tlalpan,55 5606 9758,Martes a domingo de 9 h a 17 h,Entrada libre. La utilización de videocámara está sujeta al pago de derechos.,"El Museo de Sitio de Cuicuilco difunde aspectos culturales de los habitantes de Cuicuilco, uno de los asentamientos más antiguos de la Cuenca de México.",1 de enero de 1970,19.3028656,-99.1880024
Museo de la Casa de Cultura de la UAEMéx,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1547,Av. Triunfo de la Libertad 9 Bis,Tlalpan,14000,Tlalpan,55 5513 5802,Lunes a Viernes de 10 a 18 hrs.,,El Museo de la Casa de Cultura de la UAEMéx ilustra el proceso histórico de la educación en el Estado de México desde la fundación del Instituto Literario en 1828 hasta la actualidad.,3 de marzo de 1984,19.2862316,-99.1677896
Museo de Historia de Tlalpan,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=546,Plaza de la Constitución 10,Tlalpan Centro,14000,Tlalpan,55 5483 1500 ext. 7306,Lunes a domingo de 10 a 20 h.,Entrada libre,"El Museo de Historia de Tlalpan es un lugar de encuentro y disfrute de los grandes maestros de la plástica y las artes visuales, donde se pueden apreciar exposiciones temporales de reconocidos artistas.",1 de septiembre de 2003,19.2890245,-99.1666984
Museo del Tiempo Tlalpan (Cerrado temporalmente),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1627,Plaza de la Constitución 7,Tlalpan Centro,14000,Tlalpan,"55 4219 4082, 55 5513 2175, 55 1315 0482, 55 5513 3310","Entrada General $150 ( US$ 7.50) Children and Senior $70  (US$ 3.50) Nacionales con credencial vigente: adultos $70 Niños, estudiantes, maestros, adultos mayores, personas con alguna discapacidad y tarjetas de descuento afiliadas $50 El recorrido es guiado y dura aproximadamente una hora gratis; se puede tomar fotos durante el recorrido.","Entrada General $150 ( US$ 7.50) Children and Senior $70  (US$ 3.50) Nacionales con credencial vigente: adultos $70 Niños, estudiantes, maestros, adultos mayores, personas con alguna discapacidad y tarjetas de descuento afiliadas $50","El Museo del Tiempo Tlalpan cuenta con una exhibición permanente de relojes mecánicos desde principios del siglo XVIII, siendo una de las colecciones de relojes antiguos más grandes de México. Además, alberga una variedad de aparatos sonoros, mecánicos y eléctricos, así como muebles y esculturas antiguas.",,19.2885096,-99.1675625
Museo Cielito Lindo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2402,Belisario Domínguez s/n,Santiago Tulyehualco,16750,Xochimilco,55 5653 0382,Martes a viernes de 10 a 19 h. Sábados y Domingos de 10 a 17 h.,Entrada libre,"El Museo Cielito Lindo surge como homenaje a Quirino Mendoza, ícono de la música mexicana y compositor de la canción que le da nombre a este museo. En el espacio se encuentran objetos relacionados con la obra de este artista, y otras salas dedicadas al amaranto y la nieve, productos que dan origen a las principales actividades comerciales de Tulyehualco.",12 de mayo de 2023,19.2535625,-99.0120097
Museo Flor de Chinampas (Chinampaxochitl),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2192,"Parque Ecológico de Xochimilco, Anillo Periférico Canal de Garay, I",Ciénega Grande,16036,Xochimilco,,Lunes a domingo de 9:00 a 18:00 h.,Entrada libre.,"El Museo Flor de Chinampas (Chinampaxochitl) es un museo ubicado en el Parque Ecológico de Xochimilco que cuenta con ecosistemas acuáticos y bosque templado, y exhibe la flora y fauna representativa de la región.",10 de agosto de 2022,19.3234517,-99.0719029
Museo Arqueológico de Xochimilco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=917,Av. Tenochtitlan s/n,La Planta Santa Cruz Acalpixca,16500,Xochimilco,"55 2157 1757, 55 5676 6971, 55 5653 0382",Martes a domingo de 10:00 a 17:00 hrs.,"Entrada general: $14, Estudiantes, niños e INAPAM: $7","El Museo Arqueológico de Xochimilco se encuentra en Santa Cruz Acalpixca y cuenta con una colección de 2,441 piezas de barro y piedra que se exponen en las dos salas del museo.",,19.2527646,-99.0695236
Museo Dolores Olmedo (apertura en febrero de 2026),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=916,Av. México 5843,La Noria,16030,Xochimilco,"55 5555 1221, 5555 1016, 55 5555 0891 exts. 141, 142",martes a domingo de 10:00 a 18:00 hrs.,"Donativo de entrada: Público nacional $50, Público extranjero $100, Maestros y estudiantes $25, INAPAM y menores de 6 años: $5, Todos los martes entrada libre",El Museo Dolores Olmedo Patiño exhibe las colecciones más numerosas que existen en un solo recinto de dos de los más importantes artistas mexicanos de mediados del siglo XX: Diego Rivera y Frida Kahlo.,,19.2659951,-99.12612179999999
Planetario Joaquín Gallo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1776,Av. División del Norte s/n esq. Miguel Laurent,Santa Cruz Atoyac,3310,Benito Juárez,info@sam.org.mx,Sábados y domingos de 13 a 16 h.,Entrada libre.,"El Planetario Joaquín Gallo es un museo ubicado en el Parque de los Venados, dedicado a la astronomía y los eventos de la bóveda celeste. Ofrece talleres y cursos para que los niños descubran la ciencia de manera divertida.",1 de enero de 1991,19.3663285,-99.1556427
Museo de Arte en Azúcar México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1653,Av. Cuauhtémoc 950,Narvarte,3020,Benito Juárez,55 5523 8434,Todos los días sólo con cita,Cuota voluntaria,El Museo de Arte en Azúcar México exhibe una colección de piezas artísticas en azúcar que originalmente fueron decoración de pasteles elaborados por la maestra Marithé de Alvarado.,,19.3843045,-99.15748359999999
Museo del Metro,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1905,Av. Revolución esq. Extremadura,Insurgentes Mixcoac,3920,Benito Juárez,55 5627 4549,Martes a domingo de 10 a 20 h.,Entrada libre,"El Museo del Metro se encuentra en el transbordo de la línea 12 Mixcoac-Tláhuac y la línea 7, y exhibe objetos encontrados durante la construcción de las diferentes líneas del Metro, así como material gráfico de los hallazgos arqueológicos.",,19.3759131,-99.1875524
Museo de la Radio del STC Metro,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2475,Uxmal 857,Sta Cruz Atoyac,3310,Benito Juárez,,"Lunes a viernes de 5 a 24 hrs. sábados de 6 a 24 hrs., domingos y días festivos de 7 a 24 hrs.",El acceso es gratuito.,El Museo de la Radio del STC Metro es un espacio que ofrece a los usuarios del Metro un sitio público con tecnología de punta y un archivo histórico sobre la Radio en México.,Fue inaugurado en octubre de 2018,19.3707331,-99.15871050000001
Museo Emblemático de la Caricatura,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2552,Av. Universidad,Del Valle Centro,3104,Benito Juárez,,"Horario de 5 a 24 h ., excepto en días festivos.",Entrada libre,El Museo Emblemático de la Caricatura se encuentra en la estación de metro Zapata y exhibe obras de 200 caricaturistas mexicanos.,22 de julio de 2017,19.3783058,-99.1600593
Museo Estelar,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2161,Santa Margarita 519,Insurgentes San Borja,3100,Benito Juárez,,"Miércoles a sábado de 10 a 18 h., domingos de 12 a 17 h.",Entrada libre.,El Museo Estelar es un espacio para los fans de la saga y reúne más de seis mil piezas del universo de George Lucas.,1 de noviembre de 2019,19.3820094,-99.1758496
Museo Polyforum Siqueiros (Cerrado por remodelación),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=532,Insurgentes Sur 701,Nápoles,3810,Benito Juárez,55 5536 4520,,,"Este museo de sitio contiene una muestra permanente de fotos, objetos y recuerdos personales del artista David Alfaro Siqueiros y del empresario Manuel Suárez. Exhibe las maquetas originales del Polyforum y mediante tres kioscos interactivos de pantalla sensible al tacto se consulta la historia de la construcción de un mural y La marcha de la humanidad.",15 de diciembre de 1971,19.3933243,-99.17339750000001
Casa Museo Benita Galeana,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1335,Cda. Zutano 11,Periodista,3620,Benito Juárez,"55 5609 1687, 55 5243 5732, 55 5422 5300 xt. 4480",Abierto al público de lunes a viernes de 9 a 15 hrs.,Entrada libre,"Museo dedicado a la luchadora social y miembro del Partido Comunista Mexicano Benita Galeana. Cuenta con una sala permanente, una sala de exposiciones itinerantes, una biblioteca y una fototeca.",8 de junio de 2000,19.3824588,-99.1456163
Fundación María y Héctor García,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1245,Cumbres de Maltrata 581,2da. del Periodista,3620,Benito Juárez,"55 5532 6270, 55 5539 5393",Lunes a viernes de 10:30 a 15:30 h.,Entrada gratuita,"El Museo Héctor García exhibe retratos de Frida Kahlo, Diego Rivera, José Clemente Orozco, así como las conocidas crónicas urbanas visuales del fotógrafo.",28 de octubre de 2008,19.3826532,-99.14462929999999
Sala Introductoria a la Zona Arqueológica de Mixcoac,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2156,Pirámide 7 esq. calle 20 y calle 22,San Pedro de los Pinos,3800,Benito Juárez,55 5271 4919,"Lunes a viernes de 10 h a 16 h. Los días 24 y 31 de diciembre, el museo deja de dar serviccio a las 13 h; el 25 de diciembre y el 1 de enero permanece cerrado",Entrada gratuita,"El museo brinda información histórica y arqueológica sobre un importante asentamiento prehispánico en la Cuenca de México, con evidencias de ocupación desde la época teotihuacana hasta la mexica.",25 de agosto de 2019,19.385764,-99.1883756
Museo Mural Diego Rivera,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=661,Balderas s/n esq. Colón,Centro Histórico,6040,Cuauhtémoc,"551555 1900 exts. 5417, 5422",Martes a domingo de 10 h a 18 h,"Entrada general: $45, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","El Museo Mural Diego Rivera alberga una de las obras artísticas más representativas del país: 'Sueño de una tarde dominical en la Alameda Central' de Diego Rivera, y también exhibe material documental sobre la vida y obra del artista.",1988,19.4360577,-99.1479799
Museo Franz Mayer,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=462,Av. Hidalgo 45,Centro,6300,Cuauhtémoc,"55 5518 2265, 55 5518 2266 ext. 251, 254",Abierto al público de martes a domingo de 10 a 17 h,"Entrada general $100, Maestros, estudiantes y Afiliados al INAPAM $60, Niños menores de 12 años entrada libre, Visita guiada en horario habitual $75","El Museo Franz Mayer exhibe una de las mayores colecciones de artes decorativas de México, conformada por piezas de los siglos XVI al XIX procedentes de México, Europa y Oriente.",1986,19.4371444,-99.1433668
Museo de Sitio del Antiguo Hospital Concepción Béistegui,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1907,Regina 7 Planta Alta,Centro Histórico,6010,Cuauhtémoc,(55) 5709 3124,Sábados y domingos de 10:00 a 17:00 hrs. Visitas guiadas de 11:00 a 16:00 hrs. cada hora,"Entrada general: $20, Maestros, estudiantes y niños menores de cinco años: $10, Afiliados al INAPAM: entrada libre","El museo exhibe equipo médico y quirúrgico de los siglos XIX y principios del XX. Cuenta con fototeca, botica, archivo histórico y biblioteca.",15 de agosto de 2015,19.4277336,-99.1382648
Museo de Geología,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=692,Jaime Torres Bodet 176,Santa María La Ribera,6400,Cuauhtémoc,"55 5547 3900 ext. 106, 55 5547 3948",Martes a domingo de 10 a 17 h,"Entrada general: $30, Profesores, alumnos y adultos mayores con credencial: $25",El Museo de Geología pertenece al Instituto de Geología de la Universidad Nacional Autónoma de México. Uno de sus principales atractivos es la reconstrucción de un esqueleto de mamut.,,19.4502438,-99.1577994
Museo del Juguete Arte-Objeto Frida,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2000,Dr. Claudio Bernard 111 esq. Niños Héroes,Doctores,6720,Cuauhtémoc,"55 5761 9058, 55 5761 8923",Lunes a viernes de 10 a 18 hrs.,Entrada libre,El Museo del Juguete Arte-Objeto Frida es un lugar que exhibe una pequeña colección de juguetes arte-objeto creados por artistas importantes de México.,1 de enero de 2006,19.4228366,-99.1504867
Pinacoteca del Templo La Profesa (cerrada hasta nuevo aviso),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=757,Isabel la Católica 21,Centro Histórico,6000,Cuauhtémoc,(55) 5521 8362,Visitas guiadas todos los sábados de 12 a 14 hrs.,Donativo voluntario,"El templo y los anexos de La Profesa contienen una de las colecciones de óleos de caballete de tipo religioso correspondientes a los siglos XVII, XVIII y XIX.",26 de marzo de 1988,19.4339511,-99.13653719999999
Palacio de la Escuela de Medicina,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=691,"Rep. de Brasil 33, Plaza Santo Domingo",Centro Histórico,6000,Cuauhtémoc,"55 5623 3123, 55 5623 3151, 55 5623 3129, 55 5623 3161",Lunes a domingo de 9 a 18 hrs.,Entrada gratuita con identificación para todo público.,"El Palacio de la Escuela de Medicina es un museo que tiene el compromiso de difundir la historia de la medicina mexicana, presentando su acervo que conjunta arte, ciencia y tecnología.",,19.437295,-99.13380049999999
Museo del Telégrafo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=907,Tacuba 8,Centro,6620,Cuauhtémoc,"55 5521 9351, 55 5510 2370",Abierto al público de martes a domingo de 10 a 17:30 hrs.,Entrada libre,El Museo del Telégrafo se fundó el 22 de noviembre de 2006 y muestra la historia de las telecomunicaciones en México.,22 de noviembre de 2006,19.4360698,-99.1394686
Museo Casa de Carranza,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=965,Río Lerma 35 esq. Río Amazonas,Cuauhtémoc,6500,Cuauhtémoc,"55 5535 2920, 55 5546 6494",Martes a domingo de 10 h a 17 h,"Entrada general: $70, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes y personas adultas mayores, La utilización de videocámara está sujeta al pago de derechos","El Museo Casa de Carranza es un museo que muestra objetos personales, documentos y fotografías del presidente constitucionalista Venustiano Carranza.",1 de febrero de 1961,19.4312937,-99.1634754
Museo Galería Nuestra Cocina Duque de Herdez,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1617,Seminario 18,Centro Histórico,6060,Cuauhtémoc,"55 5522 8860, 55 5522 5544, 55 5522 8874",Martes a sábado de 9:00 a 17:00 hrs.,"Público General: $15, Con credencial de estudiande vigente: $10. Degustaciones: Viernes y sábados de 9:00 a 16:30 hrs. Público General: $30, Con credencial de estudiande vigente: $25.00. Visitas Guiadas: Martes a viernes de 9:00 a 12:00 hrs., Sábados a las 9:00 hrs. Público General: $30","Museo que promueve y difunde la historia de la cocina en México, a través de un paseo por el tiempo, fortaleciendo y preservando la cultura alimentaria, tradiciones e identidad mexicana.",1 de enero de 2000,19.4338072,-99.1317902
Museo del Perfume MUPE,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2190,Tacuba 12,Centro Histórico,6010,Cuauhtémoc,"55 5086 4633, 55 5512 1913",Martes a domingo de 10 a 17 h.,"Entrada general $70, estudiantes, profesores e INAPAM $35","El Museo del Perfume MUPE es un espacio conceptual, inmersivo, de intercambio cultural y artístico que busca difundir y comunicar la cultura del perfume y los aromas. Cuenta con una colección de más de 3 mil piezas, entre las que destacan envases, carteles y libros.",,19.435896,-99.1387314
Museo Vivo del Muralismo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2173,República de Argentina 28,Centro,6000,Cuauhtémoc,"55 3601 1000 exts. 51238, 51302",Miércoles a lunes de 10 a 18 h.,Entrada libre.,El Museo Vivo del Muralismo se encuentra ubicado en el edificio histórico de la Secretaría de Educación Pública (SEP) y cuenta con una exposición de más de tres mil metros cuadrados de un acervo muralístico.,,19.4369174,-99.13187119999999
Museo Manuel Tolsá,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=811,Tacuba 5,Centro,6000,Cuauhtémoc,55 5623 2981,Miércoles a domingo de 10:00 a 18:00 hrs. Último miércoles de cada mes es de 10:00 a 22:00 hrs.,"$20 entrada general, $10 con credencial de estudiante, maestro, e INAPAM","El Museo Manuel Tolsá rinde tributo al arquitecto y escultor valenciano Manuel Tolsá, quien intervino en la construcción de la Catedral Metropolitana y diseñó la escultura ecuestre del Rey de España Carlos IV.",,19.4355826,-99.1396484
Museo Universitario del Chopo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=382,Dr. Enrique González Martínez 10,Santa María la Ribera,6400,Cuauhtémoc,"55 5546 8490, 55 5546 3471, 55 5535 2186",Miércoles a domingo de 11:30 a 19 hrs.,Exposiciones: entrada general $30; estudiantes con credencial vigente e INAPAM $15. Cinematógrafo: entrada general $40; estudiantes con credencial vigente e INAPAM $20. Miércoles entrada libre.,"El Museo Universitario del Chopo es el referente crítico y reflexivo para las nuevas tendencias dentro de las heterodoxias en las artes escénicas, visuales y la literatura. Conserva la memoria de la subterraneidad, y propicia el encuentro de las diversas culturas postsubterráneas de la actualidad global con la comunidad universitaria, y el público en general.",,19.4419932,-99.15671789999999
Museo de Sitio de Tlatelolco Caja de Agua,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1491,Eje Central Lázaro Cárdenas s/n,"Unidad Habitacional Nonoalco-Tlatelolco, Tercera Sección",6900,Cuauhtémoc,"55 5782 2240, 55 5583 0295 ext. 411111",Lunes a domingo de 9 h a 14 h,Entrada libre,El Museo de Sitio de Tlatelolco Caja de Agua exhibe el mural novohispano más antiguo de México y piezas arqueológicas recuperadas de la exploración de la ofrenda colocada durante la clausura de la caja de agua.,15 de diciembre de 2011,19.4205911,-99.1435568
Museo del Tecpan,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1550,Av. Reforma Norte 630,"U.H. Tlatelolco, 3ra. sección",6300,Cuauhtémoc,"55 5782 22 40, 555 782 72 90, 55 5583 02 95",Abierto toda la semana de 9 h a 17 h,Entrada libre,"El museo, inaugurado el 1 de enero de 1960, tiene como sede un sitio histórico, ya que fue parte importante de la cultura mexica y de la época colonial.",1 de enero de 1960,19.4490505,-99.1341573
Museo Nacional de las Culturas del Mundo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=802,Moneda 13,Centro Histórico,6060,Cuauhtémoc,"55 5510 9922, 55 4166 0770 ext. 414200 y 414201",Martes a domingo de 10 h a 18 h,Entrada libre,"El Museo Nacional de las Culturas del Mundo es un museo que investiga, conserva y difunde un rico acervo arqueológico, histórico y etnográfico que cuenta con más de 17 mil objetos de origen internacional.",1825,19.4331582,-99.1304145
Museo del Templo Mayor,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=476,Seminario 8,Centro Histórico,6060,Cuauhtémoc,"55 4166 0780 al 84 exts. 412901, 412902",Martes a domingo de 9 h a 17 h,"Entrada general: $100 (incluye la Zona Arqueológica), Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos (solo para visitantes nacionales que presenten identificación), La utilización de videocámara está sujeta al pago de derechos","El museo, obra del arquitecto Pedro Ramírez Vázquez, está ubicado en el mismo sitio que fue el centro ceremonial más importante del pueblo mexica. Las excavaciones realizadas en el sitio, así como el acervo que compone el museo, dan cuenta de la evolución del pueblo azteca.",12 de octubre de 1987,19.4348088,-99.1312609
Museo del Bicentenario,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1780,Eje Central Lázaro Cárdenas 2 piso 36,Centro,6000,Cuauhtémoc,(55) 5518 7423 ext. 416302,Lunes a domingo de 9 a 22 hrs.,"Entrada general $20, NIÑOS $ 10","Un recorrido por la historia y el acontecer político, social y cultural de México. Alberga aspectos poco conocidos y documentos inéditos de los primeros cien años de la vida independiente de México.",12 de octubre de 2010,19.433921,-99.1406428
Museo de Sitio Sor Juana Inés de la Cruz,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2490,Izazaga 92,Centro Histórico,6080,Cuauhtémoc,55 5130-3380,"Lunes a viernes de 10 a 18 h, Sábado de 10 a 15 h",Entrada libre,"El Museo de Sitio Sor Juana Inés de la Cruz se inauguró en el marco del 330 aniversario luctuoso de la escritora. Expone la reproducción del hábito de una monja jerónima, monedas y billetes con la imagen de Sor Juana, y una selección de ejemplares editoriales publicados desde el siglo XVII.",23 de abril de 2025,19.4275187,-99.13796219999999
Museo de lo Increíble Ripley,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=15,Londres 4,Juárez,6600,Cuauhtémoc,"555 546 37 84, 555 546 76 70",Abierto al público de lunes a domingo de 11 a 19 hrs.,"Entrada general: $180 adultos, Niños, INAPAM, estudiantes y profesores con credencial vigente: $150, Museo de Ripley y Museo de Cera: $300 adultos, $240 niños, INAPAM, estudiantes y profesores con credencial vigente, Museo de Ripley, Museo de Cera y Viaje Fantástico: Cine 4D: $380 adultos, $305 niños, INAPAM, estudiantes y profesores con credencial vigente",El Museo de lo Increíble (Ripley) fue inaugurado el 9 de diciembre de 1992 y cuenta con 14 salas de exhibición que alojan la increíble colección de Robert L. Ripley.,9 de diciembre de 1992,19.4221266,-99.1711049
Museo Ramón López Velarde,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=710,Av. Álvaro Obregón 73,Roma,6700,Cuauhtémoc,"55 5533 5456, 55 5207 9336","Martes a viernes de 10 a 18 hrs., sábados de 10 a 15 hrs.",Entrada general $5.; escuelas particulares $4.; derechohabientes $3.; escuelas públicas $2.,"El museo Ramón López Velarde es un pequeño museo de sitio que rinde homenaje a la memoria del poeta, ubicado en la planta alta de la casa que fue sede de la Fundación Casa del Poeta.",28 de noviembre de 1991,19.418855,-99.158203
Museo Interactivo de la Bolsa Mexicana de Valores,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2029,Paseo de la Reforma 255 Mezzanine,Cuauhtémoc,6500,Cuauhtémoc,5553 4290 00,martes a domingos de 9:00 a 18:00 hrs.,entrada gratuita,Es un espacio dedicado a la narración histórica enfocada en la cultura bursátil del país utilizando módulos interactivos para una mayor compresión del guión curatorial.,8 de abril de 2019,19.4295444,-99.1643836
Museo UNAM Hoy,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1893,Moneda 2,Centro Histórico,6010,Cuauhtémoc,55 5665 1661,Abierto al público de martes a domingo de 10 a 18 hrs.,"Entrada general: $20, Con credencial vigente de profesor o estudiante: $10, Entrada libre presentando credencial INAPAM y Comunidad UNAM: estudiantes, profesores, administrativos, exalumnos y Fundación UNAM","Este museo es un reconocimiento a la Universidad Nacional Autónoma de México. El recinto se encuentra en la antigua sede de la Real y Pontificia Universidad de México, declarada monumento histórico por el INAH en 1935.",,19.4337653,-99.1317345
Sala de la Odontología Mexicana Dr. Samuel Fastlicht,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=711,Primo Verdad 2,Centro Histórico,6020,Cuauhtémoc,"55 5522 7128, 55 5623 2243",Abierto al público de lunes a domingo de 9 a 17 hrs.,Entrada libre.,"El museo exhibe instrumental odontológico, cráneos prehispánicos con intervenciones dentales, y una colección de piezas que muestran la evolución de la odontología en México.",,19.4537678,-99.1475438
Museo Art Toys,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2236,Av. 5 de Mayo 23,Centro,6010,Cuauhtémoc,55 67 11 51 13,lunes a domingo de 11 a 19 hrs.,"Entrada general $ 80, Niños y adultos mayores $ 50, Grupos de 4 personas $ 200","Este es el primer museo en la Ciudad de México que busca mostrar lo mejor de los universos de Marvel y DC Comics. Las exhibiciones giran en torno a los personajes de cómics, su vestuario, sus herramientas y armas.",1 de diciembre de 2017,19.4343792,-99.1387824
Museo de la Mujer,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1435,República de Bolivia 17,Centro,6020,Cuauhtémoc,55 5795 9596,Martes a domingo de 10 a 18 hrs.,"Martes entrada gratis, Entrada general $20, estudiantes e INAPAM $ 10","El Museo de la Mujer documenta y estudia la historia con un enfoque de género. Fue inaugurado el 8 de marzo de 2011, Día de la Mujer.",8 de marzo de 2011,19.4392147,-99.1321433
Museo del Objeto del Objeto (MODO),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1469,Colima 145,Roma Norte,6700,Cuauhtémoc,55 5533 9637,Miércoles a domingo de 10 a 18 hrs.,"Entrada general: $ 60, INAPAM, estudiantes y maestros: $ 30, Vecinos de la Roma con IFE: $ 30, Niños menores de 12 años: entrada libre.","Espacio dedicado a coleccionar, conservar, exhibir y difundir diversas expresiones del diseño y de la comunicación.",21 de octubre de 2010,19.4202415,-99.1590997
Casa-Estudio Leonora Carrington (Cerrada Temporalmente),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2188,Chihuahua 194,Roma,6700,Cuauhtémoc,,,,"La Casa-Estudio Leonora Carrington fue el hogar de la pintora desde 1948 hasta su muerte, en 2011. El proyecto estuvo a cargo de la Universidad Autónoma Metropolitana (UAM).",1 de marzo de 2021,19.4166588,-99.16299599999999
Museo Nacional de la Cruz Roja Mexicana,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2512,Regina 9,Centro,6080,Cuauhtémoc,55 1084 9000,Jueves a domingos de 11 a 17 h.,,"El Museo Nacional de la Cruz Roja Mexicana resguarda y mantiene la memoria histórica de la institución, mediante la conservación de objetos y archivos documentales, y se constituye en un punto para desarrollar la investigación sobre la historia institucional, promover los principios y valores humanitarios, y favorecer el desarrollo de las acciones de educación humanitaria y la cultura del voluntariado.",21 de febrero de 2025,19.427929,-99.1381177
